name,country,sport,substance,link,birthday
Fritz Aanes,Norway,Greco-Roman wrestling,"['Norandrosterone,', 'Noretiocholanolone']",/wiki/Fritz_Aanes,1978-07-20
Tom Aage Aarnes,Norway,Ski jumping,['Amphetamine'],/wiki/Tom_Aage_Aarnes,1977-01-25
Mariya Abakumova,Russia,Athletics,"['Dehydrochlormethyltestosterone', '(Turinabol)']",/wiki/Mariya_Abakumova,1986-01-15
Sara Abbazova,Azerbaijan,Powerlifting,['Nandrolone'],Page does not exist.,N/A
Damin Abbiate,Argentina,Weightlifting,['Nandrolone'],Page does not exist.,N/A
Salwan Abbood,Egypt,Weightlifting,['Stanozolol'],/wiki/Salwan_Abbood,1991-09-26
Kalifa Abdalla,Libya,Weightlifting,['Metandienone'],Page does not exist.,N/A
Walid Abdelaal,Egypt,Wrestling,['Stanozolol'],Page does not exist.,N/A
Ibrahim Abdelbaki,Egypt,Wrestling,['Methylhexaneamine'],/wiki/Ibrahim_Abdelbaki,1988-02-06
Yamil Abdellatif,Morocco,Weightlifting,['Cannabis'],Page does not exist.,N/A
Donia Abdelrahman,Egypt,Weightlifting,['Hydroxystanozolol'],Page does not exist.,N/A
Djamolidine Abdoujaparov,Uzbekistan,Cycling,"['Clenbuterol,', 'bromantan']",/wiki/Djamolidine_Abdoujaparov,1964-02-28
Hashim Abdulkareem,Egypt,Weightlifting,['Norandrosterone'],Page does not exist.,N/A
Muminjon Abdullaev,Uzbekistan,Wrestling,['Nandrolone'],/wiki/Muminjon_Abdullaev,1989-12-24
Inga Abitova,Russia,Athletics,"['Dehydrochlormethyltestosterone', '(Turinabol)']",/wiki/Inga_Abitova,N/A
Alex Acco,Brazil,Beach volleyball,"['Norandrosterone,', 'Noretiocholanolone']",Page does not exist.,N/A
Olimbek Achildiev,Uzbekistan,Weightlifting,[],Page does not exist.,N/A
Johan Ackermann,South Africa,Rugby union,['Nandrolone'],/wiki/Johan_Ackermann,1970-06-03
Ali Adams,United Kingdom,Boxing,['Stanozolol'],/wiki/Ali_Adams,1991-11-06
Phillip Adams,Australia,Shooting,['Hydrochlorothiazide'],/wiki/Phillip_Adams_(sport_shooter),1945-07-29
Adham Khazeiq,Palestine,Weightlifting,"['Nandrolone,', 'Norandrosterone']",Page does not exist.,N/A
Andre Agassi,United States,Tennis,"['Methamphetamine', '(self-admitted)']",/wiki/Andre_Agassi,1970-04-29
Uche Agu,Nigeria,Weightlifting,['Norandrosterone'],Page does not exist.,N/A
Abdulmunem Ahmed,Iraq,Weightlifting,['Methyltestosterone'],Page does not exist.,N/A
All Ahmed,Yemen,Weightlifting,"['Metandienone,', 'Norandrosterone,', 'Anabolic', 'steroids']",Page does not exist.,N/A
Naveed Ahmed Butt,Pakistan,Powerlifting,"['Methandienone', 'metabolites']",Page does not exist.,N/A
Mirambek Ainagulov,Kazakhstan,Wrestling,['Furosemide'],/wiki/Mirambek_Ainagulov,1994-02-17
Lizandro Ajcú,Guatemala,Cycling,"['Erythropoietin', '(EPO)']",Page does not exist.,N/A
Karhan Akay,Turkey,Swimming,['Methandienone'],Page does not exist.,N/A
Ali Akbar,Pakistan,Weightlifting,[],Page does not exist.,N/A
Alibek Akbayev,Russia,Wrestling,[],Page does not exist.,N/A
Albina Akhatova,Russia,Biathlon,"['NikethamideErythropoietin', '(EPO)']",/wiki/Albina_Akhatova,1976-11-13
Igor Akhlyustin,Russia,Swimming,[],Page does not exist.,N/A
Shoaib Akhtar,Pakistan,Cricket,['Nandrolone'],/wiki/Shoaib_Akhtar,1975-08-13
Atrhouros Akritidis,Greece,Weightlifting,"['Methyltrienolone,', 'Buprenorphine']",Page does not exist.,N/A
Mohammed Al-Aifuri,Iraq,Weightlifting,['Metandienone'],Page does not exist.,N/A
Abdul Rehman Al Bader,Kuwait,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Noor Alam,Pakistan,Cycling,['Nandrolone'],Page does not exist.,N/A
Carlos Alberto de Jesus,Brazil,Football (soccer),"['Hydrochlorothiazide,', 'Tamoxifen']",/wiki/Carlos_Alberto_de_Jesus,1984-12-11
Rolf Aldag,Germany,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Rolf_Aldag,1968-08-25
Darrell Alderman,United States,Drag racing,['Cocaine'],Page does not exist.,N/A
Faisal Aldossri,Saudi Arabia,Tennis,[],Page does not exist.,N/A
Denis Alekseyev,Russia,Athletics,"['Dehydrochlormethyltestosterone', '(Turinabol)']",/wiki/Denis_Alekseyev,1987-12-21
Evgeny Aleshin,Russia,Swimming,[],/wiki/Evgeny_Aleshin,1979-05-04
Jose Alexis Valida,Spain,Volleyball,['Cocaine'],Page does not exist.,N/A
Stephen Alfred,United States,Cycling (track),"['NorandrosteroneTestosterone', '(May),', 'hCG', '(June)', 'Refusal', 'to', 'submit', 'to', 'doping', 'control']",Page does not exist.,N/A
Muhammad Al-Ghaferi,United Arab Emirates,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Dilsher Ali,Pakistan,Cycling,['Nandrolone'],Page does not exist.,N/A
Hram Ali,Iraq,Weightlifting,['Metandienone'],Page does not exist.,N/A
Javed Ali,Pakistan,Bodybuilding,['Nandrolone'],Page does not exist.,N/A
Khalid Ali,Pakistan,Bodybuilding,[],Page does not exist.,N/A
Sadam Ali,United States,Boxing,['Cathine'],/wiki/Sadam_Ali,1988-09-26
Amir Aliakbari,Iran,Wrestling,"['Anabolic', 'steroids']",/wiki/Amir_Aliakbari,1987-12-11
Waleed Ali Alghmdi,Saudi Arabia,Water polo,['Cannabis'],Page does not exist.,N/A
Saeid Alihosseini,Iran,Weightlifting,['Metandienone'],/wiki/Saeid_Alihosseini,1988-02-02
Abdullah Ali Rami,Yemen,Weightlifting,"['Metandienone,', 'Ephedrine']",Page does not exist.,N/A
Mohsen Alizadeh,Iran,Water polo,"['Norandrosterone', 'and', 'metabolites']",Page does not exist.,N/A
Yousri Yaseer Allaili,Saudi Arabia,Water polo,['Methamphetamine'],Page does not exist.,N/A
David Allen,United Kingdom,Rugby League,"['Metabolite', 'of', 'cocaine']",/wiki/David_Allen_(rugby_league),1985-09-15
A. J. Allmendinger,United States,Auto racing,['Amphetamines'],/wiki/A._J._Allmendinger,1981-12-16
Carlos Almanzar,Dominican Republic,Baseball,['Steroids'],/wiki/Carlos_Almanzar,1973-11-06
Alimohamad Almharous,Saudi Arabia,Weightlifting,['Metandienone'],Page does not exist.,N/A
Bassam Almohammad Alshahin,Syria,Weightlifting,"['Boldenone,', 'Androsterone']",Page does not exist.,N/A
Jasim Yusuf Al Nabhan,Bahamas,Beach volleyball,['Methylhexaneamine'],Page does not exist.,N/A
Mohamed Al Saedi,Iraq,Wrestling,['Sibutramine'],Page does not exist.,N/A
Saoud AlShehhi,United Arab Emirates,Weightlifting,"['Stanozolol,', 'Hydroxystanozolol']",Page does not exist.,N/A
Thiago Alves,Brazil,Mixed Martial Arts,['Spironolactone'],/wiki/Thiago_Alves_(fighter),1983-10-03
Lyle Alzado,United States,American football,"['Anabolic', 'steroids', '(self-admitted)']",/wiki/Lyle_Alzado,1949-04-03
Nehal Ameur,Egypt,Swimming,['Methandienone'],Page does not exist.,N/A
Wafa Ammouri,Morocco,Weightlifting,[],Page does not exist.,N/A
Uwe Ampler,Germany,Cycling,['Steroids'],/wiki/Uwe_Ampler,1964-10-11
Chris Andersen,United States,Basketball,[],/wiki/Chris_Andersen,1978-07-07
Kim Andersen,Denmark,Cycling,"['Undisclosed', '(7', 'Sept),', 'Norephedrine', '(14', 'Sept)Undisclosed', '(8', 'April),', 'Undisclosed', '(16', 'April),', 'Undisclosed', '(27', 'April)', 'Testosterone', 'Amineptine']",/wiki/Kim_Andersen_(cyclist),1958-10-02
Peter Riis Andersen,Denmark,Mountain biking,"['Erythropoietin', '(EPO)']",/wiki/Peter_Riis_Andersen,1980-07-25
Darryl Anderson,United Kingdom,Motorcycle racing,[],Page does not exist.,N/A
Ijah Anderson,England,Football (soccer),['Cocaine'],/wiki/Ijah_Anderson,1975-12-30
Silva Andrea,Brazil,Weightlifting,['Norandrosterone'],Page does not exist.,N/A
Ekaterina Andreeva,Russia,Swimming,[],/wiki/Ekaterina_Andreeva_(swimmer),1993-12-13
Frankie Andreu,United States,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Frankie_Andreu,1966-09-26
Joaquín Andújar,Dominican Republic,Baseball,['Cocaine'],/wiki/Joaqu%C3%ADn_And%C3%BAjar,1952-12-21
Jacques Anquetil,France,Cycling,['Self-admitted'],/wiki/Jacques_Anquetil,1934-01-08
Henry Antchouet,Gabon,Football (soccer),['Cocaine'],/wiki/Henry_Antchouet,1979-08-02
Kristina Antoniychuk,Ukraine,Tennis,['Furosemide'],/wiki/Kristina_Antoniychuk,1990-09-04
Toppo Anupdeo,India,Weightlifting,['Methylhexamine'],Page does not exist.,N/A
Abdallah Anwar,United States,Boccia,['Hydrochlorothiazide'],Page does not exist.,N/A
Atif Anwar Ali,Pakistan,Bodybuilding,[],Page does not exist.,N/A
Adam Anzorov,Russia,Wrestling,[],Page does not exist.,N/A
Bijiya Arabam,India,Weightlifting,['Metandienone'],Page does not exist.,N/A
Anos Armak,Iran,Weightlifting,['Metandienone'],Page does not exist.,N/A
Andrei Aramnau,Belarus,Weightlifting,"['Synthetic', 'cannabinoid']",/wiki/Andrei_Aramnau,1988-04-17
Ibrahim Arat,Turkey,Weightlifting,['Hydroxystanozolol'],/wiki/Ibrahim_Arat,1988-12-02
Lorena Araujo,Brazil,Swimming,['Stanozolol'],Page does not exist.,N/A
Fouodfi Arcangeline,Cameroon,Weightlifting,"['N-bisdesmethyl', 'sibutramine']",Page does not exist.,N/A
Alexandros Aresti,Cyprus,Swimming,['Stanozolol'],/wiki/Alexandros_Aresti,1983-03-11
Chris Armstrong,England,Football (soccer),['Cannabis'],/wiki/Chris_Armstrong_(footballer_born_1971),1971-06-19
Lance Armstrong,United States,Cycling,"['Erythropoietin', '(EPO),', 'Human', 'Growth', 'Hormone,', 'Testosterone,', 'Cortisone,', 'Blood', 'transfusions', '(self-admitted)']",/wiki/Lance_Armstrong,1971-09-18
Marco Antonio Arriagada Quinchel,Chile,Cycling,['Stanozolol'],/wiki/Marco_Antonio_Arriagada_Quinchel,1975-10-30
Michael Arroyo,Ecuador,Football (soccer),['cannabis'],/wiki/Michael_Arroyo,1987-04-23
Silvia Artola,Nicaragua,Weightlifting,['Methylhexaneamine'],Page does not exist.,N/A
Kasem Asaad,Syria,Weightlifting,"['Methandriol,', 'Methyltestosterone']",Page does not exist.,N/A
Man Asaad,Syria,Weightlifting,['Metandienone'],/wiki/Man_Asaad,1993-11-20
Yamba Asha,Angola,Football (soccer),[],/wiki/Yamba_Asha,1976-07-31
Mohammed Asif,Pakistan,Cricket,['Nandrolone'],/wiki/Mohammad_Asif_(cricketer),1982-12-20
Hasan Aslam,Pakistan,Weightlifting,[],Page does not exist.,N/A
Nuno Assis,Portugal,Football (soccer),['Nandrolone'],/wiki/Nuno_Assis,1977-11-25
Igor Astarloa,Spain,Cycling,"['Biological', 'passport', 'violation']",/wiki/Igor_Astarloa,1976-03-29
Mikel Astarloza,Spain,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Mikel_Astarloza,1979-11-17
Ksenia Atamanskaya,Kazakhstan,Swimming,['Fenoterol'],Page does not exist.,N/A
Anna Athanasiadou,Greece,Weightlifting,"['Methyltrienolone,', 'Buprenorphine']",Page does not exist.,N/A
Mikhail Audzeyev,Belarus,Weightlifting,"['Boldenone,', 'Androsterone']",Page does not exist.,N/A
Floren Augier,France,Swimming,"['Prednisone,', 'Prednisolone']",Page does not exist.,N/A
Arthur Auray,France,Water polo,['Cocaine'],Page does not exist.,N/A
Michele Aureli,Italy,Water polo,['Betamethasone'],Page does not exist.,N/A
Niklas Axelsson,Sweden,Cycling,"['EPO', 'EPO,', 'testosterone']",/wiki/Niklas_Axelsson,1972-05-15
Murat Aygün,Netherlands,Kickboxing,['Metandienone'],/wiki/Murat_Ayg%C3%BCn,1988-12-13
Laura Azevedo,Brazil,Swimming,"['Anabolic', 'steroids']",Page does not exist.,N/A
Tariq Aziz,Pakistan,Field hockey,['Cannabis'],Page does not exist.,N/A
Villalobos Azofeifa,Costa Rica,Cycling,['GW501516'],Page does not exist.,N/A
Ahmed Abdelwahed,Italy,Athletics,['Meldonium'],/wiki/Ahmed_Abdelwahed,1996-05-26
Christopher Bach,France,Swimming,['Prednisone'],Page does not exist.,N/A
Jonathan Bachini,Italy,Football (soccer),['Cocaine'],/wiki/Jonathan_Bachini,1975-06-05
Nicklas Bäckström,Sweden,Ice hockey,['Pseudoephedrine'],/wiki/Nicklas_B%C3%A4ckstr%C3%B6m,1987-11-23
Cezar Badita,Romania,Swimming,['Nandrolone'],/wiki/Cezar_Badita,1979-04-12
Nathan Baggaley,Australia,Kayaking,['Stanozolol'],/wiki/Nathan_Baggaley,1975-12-06
Sarah Baham,United States,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Tzuche Bakam,Cameroon,Weightlifting,"['Boldenone,', 'androsterone']",Page does not exist.,N/A
Erwin Bakker,Netherlands,Cycling,"['Erythropoietin', '(EPO)']",Page does not exist.,N/A
Yesenia Baldera Peguero,Dominican Republic,Weightlifting,"['Stanozolol,', 'Hydroxystanozolol']",Page does not exist.,N/A
Singh Baljit,India,Weightlifting,[],Page does not exist.,N/A
Daniela Balzan Leal,Venezuela,Weightlifting,['Boldenone'],Page does not exist.,N/A
Michael Banbula,United Kingdom,Boxing,['Testosterone'],Page does not exist.,N/A
Roberto Barbaro,Italy,Water polo,['Norandrosterone'],Page does not exist.,N/A
Henrique Barbosa,Brazil,Swimming,['Furosemide'],/wiki/Henrique_Barbosa,1984-07-05
Josh Barnett,United States,Mixed martial arts,['Boldenone'],/wiki/Josh_Barnett,1977-11-10
Phil Baroni,United States,Mixed martial arts,"['Boldenone,', 'stanozolol', 'metabolites']",/wiki/Phil_Baroni,1976-04-16
Vargas Barrantes,Costa Rica,Cycling,['GW501516'],Page does not exist.,N/A
Ryan Barrett,United Kingdom,Boxing,['Methylhexaneamine'],/wiki/Ryan_Barrett,1982-12-27
Yarelys Barrios,Cuba,Athletics,['acetazolamide'],/wiki/Yarelys_Barrios,1983-07-12
Kévin Barrois,France,Swimming,"['Cannabis,', 'Prednisone,', 'Prednisolone']",Page does not exist.,N/A
Doug Barron,United States,Golf,"['Performance', 'Enhancing', 'Drugs']",Page does not exist.,N/A
Karapet Barseghyan,Armenia,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Julyana Bassi Kury,Brazil,Swimming,['Stanozolol'],Page does not exist.,N/A
Ivan Basso,Italy,Cycling,"['Operación', 'Puerto', 'doping', 'case']",/wiki/Ivan_Basso,1977-11-26
Marta Bastianelli,Italy,Cycling,['Fenfluramine'],/wiki/Marta_Bastianelli,1987-04-30
Xavier Batista,Dominican Republic,Baseball,[],/wiki/Xavier_Batista,1992-01-18
Vicky Batta,India,Weightlifting,['Metandienone'],/wiki/Vicky_Batta,N/A
Grégory Baugé,France,Cycling,"['Drug-testing', 'violations']",/wiki/Gr%C3%A9gory_Baug%C3%A9,1985-01-31
Alain Baxter,United Kingdom,Alpine skiing,"['Methamphetamine', '(inactive', 'levorotary', 'isomer', '–', 'levmethamphetamine)']",/wiki/Alain_Baxter,1973-12-26
Fatih Baydar,Turkey,Weightlifting,['Hydroxystanozolol'],/wiki/Fatih_Baydar,1983-11-25
Jack Beaton,Australia,Swimming,"['Blood', 'Doping']",/wiki/Jack_Beaton,1914-01-02
Karol Beck,Slovakia,Tennis,['Clenbuterol'],/wiki/Karol_Beck,1982-04-03
Diane Becker,Brazil,Swimming,['Stanozolol'],Page does not exist.,N/A
Rutker Beke,Belgium,Triathlon,['EPO'],Page does not exist.,N/A
Vitor Belfort,Brazil,Mixed martial arts,['4-hydroxytestosterone'],/wiki/Vitor_Belfort,1977-04-01
Joseph Belinga,Cameroon,Weightlifting,"['N-bisdesmethyl', 'sibutramine']",Page does not exist.,N/A
C.G. Carmen Bellorin,Venezuela,Weightlifting,['Metandienone'],Page does not exist.,N/A
Manuel Beltrán,Spain,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Manuel_Beltr%C3%A1n,1971-05-28
Barbara Benke,Brazil,Swimming,['Isometheptene'],Page does not exist.,N/A
Jamal Ben Saddik,Morocco,Kickboxing,[],/wiki/Jamal_Ben_Saddik,1990-10-03
Saido Berahino,Burundi,Football (soccer),['MDMA'],/wiki/Saido_Berahino,1993-08-04
Bryan Berard,United States,Ice hockey,['19-norandrosterone'],/wiki/Bryan_Berard,1977-03-05
Virginia Berasategui,Spain,Triathlon,"['Erythropoietin', '(EPO)']",/wiki/Virginia_Berasategui,1975-07-15
Maxime Beretta,France,Diving,['Cannabis'],Page does not exist.,N/A
Elena Berezhnaya,Russia,Figure skating,['Pseudoephedrine'],/wiki/Elena_Berezhnaya,1977-10-11
Adam Bergman,United States,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Adam_Bergman,N/A
Lorenzo Bernucci,Italy,Cycling,['Sibutramine'],/wiki/Lorenzo_Bernucci,1979-09-15
Dale Berra,United States,Baseball,['Cocaine'],/wiki/Dale_Berra,1956-12-13
Carlo Bertoncelli,Italy,Swimming,['Finasteride'],Page does not exist.,N/A
